time,open,high,low,close,MA,MA,MA,MA,MA,MA,Volume,Volume MA,Histogram,MACD,Signal
2020-04-07T06:20:00Z,1146.092961,1148.024578,1141.437268,1143.319357,1133.020865,1143.589902,NaN,NaN,NaN,NaN,165290,268078.3,-1.38748974,12.63079728,14.01828702
2020-04-07T06:25:00Z,1143.517471,1144.111815,1141.140096,1142.972656,1133.925573,1143.435591,NaN,NaN,NaN,NaN,122825,260629.9,-1.732226417,11.853004,13.58523042
2020-04-07T06:30:00Z,1143.418414,1148.074107,1143.022185,1146.340604,1135.054212,1144.161844,NaN,NaN,NaN,NaN,187149,258723.45,-1.733489505,11.41836853,13.15185804
2020-04-07T06:35:00Z,1146.340604,1147.578821,1143.616529,1144.755687,1135.936165,1144.310305,NaN,NaN,NaN,NaN,116037,249997.2,-1.885260355,10.7952826,12.68054295
2020-04-07T06:40:00Z,1144.607102,1146.637776,1144.359458,1144.805216,1136.742442,1144.434033,NaN,NaN,NaN,NaN,85298,244969.95,-1.99578052,10.1858173,12.18159782
2020-04-07T06:45:00Z,1144.854745,1147.083534,1144.161344,1147.034005,1137.678039,1145.084026,NaN,NaN,NaN,NaN,102963,244145.95,-1.908342726,9.796169413,11.70451214
2020-04-07T06:50:00Z,1146.885419,1148.965623,1146.340604,1148.371279,1138.650151,1145.905839,NaN,NaN,NaN,NaN,166549,244004.8,-1.764892558,9.498396441,11.263289
2020-04-07T06:55:00Z,1148.32175,1148.420808,1147.083534,1148.32175,1139.529388,1146.509817,NaN,NaN,NaN,NaN,107463,234359.55,-1.693204635,9.146783206,10.83998784
2020-04-07T07:00:00Z,1148.32175,1154.017545,1147.430235,1151.887813,1140.652881,1147.854316,NaN,NaN,NaN,NaN,397364,236138.65,-1.397794714,9.092744448,10.49053916
2020-04-07T07:05:00Z,1152.284042,1152.927915,1147.380706,1148.767508,1141.390574,1148.082614,NaN,NaN,NaN,NaN,156611,233173.8,-1.472531613,8.649874646,10.12240626
2020-04-07T07:10:00Z,1148.767508,1152.036399,1148.420808,1151.541113,1142.31335,1148.947239,NaN,NaN,NaN,NaN,78396,227245.3,-1.331380394,8.458180766,9.78956116
2020-04-07T07:15:00Z,1151.442055,1157.831251,1151.442055,1155.998691,1143.557472,1150.710102,NaN,NaN,NaN,NaN,304565,217412.35,-0.936780459,8.618585587,9.555366045
2020-04-07T07:20:00Z,1156.097748,1156.939735,1153.026972,1154.265188,1144.530901,1151.598873,NaN,NaN,NaN,NaN,169858,210110.85,-0.86393849,8.475442933,9.339381423
2020-04-07T07:25:00Z,1154.017545,1158.97041,1151.045826,1158.376066,1145.789552,1153.293172,NaN,NaN,NaN,NaN,302303,203888.4,-0.558709055,8.640995105,9.199704159
2020-04-07T07:30:00Z,1157.979837,1158.277009,1153.076501,1154.611889,1146.591583,1153.622851,NaN,NaN,NaN,NaN,224173,196846.45,-0.708945663,8.313522081,9.022467744
2020-04-07T07:35:00Z,1154.611889,1160.45627,1154.067074,1159.069467,1147.725936,1154.984505,NaN,NaN,NaN,NaN,329860,194884.25,-0.521218232,8.370944954,8.892163186
2020-04-07T07:40:00Z,1159.366639,1166.894994,1158.97041,1163.923275,1149.198421,1157.219197,NaN,NaN,NaN,NaN,465751,206095.05,-0.104663056,8.761334366,8.865997422
2020-04-07T07:45:00Z,1163.923275,1168.777083,1163.72516,1167.538866,1150.865735,1159.799115,NaN,NaN,NaN,NaN,305535,206226,0.338540565,9.289173128,8.950632563
2020-04-07T07:50:00Z,1167.687452,1170.262942,1164.616676,1166.845465,1152.318437,1161.560702,NaN,NaN,NaN,NaN,409917,219909.15,0.453550884,9.517571168,9.064020284
2020-04-07T07:55:00Z,1166.696879,1167.885567,1157.831251,1163.229874,1153.310386,1161.977995,NaN,NaN,NaN,NaN,399529,229871.8,0.14200486,9.241526359,9.099521499
2020-04-07T08:00:00Z,1162.784116,1165.310077,1160.951556,1164.220447,1154.30221,1162.538608,NaN,NaN,NaN,NaN,158715,229543.05,-0.074692699,9.006155626,9.080848324
2020-04-07T08:05:00Z,1164.071861,1164.418562,1159.960983,1163.328931,1155.122821,1162.736189,NaN,NaN,NaN,NaN,164349,231619.25,-0.36003262,8.630807549,8.990840169
2020-04-07T08:10:00Z,1163.824218,1167.885567,1163.675632,1165.805364,1156.093961,1163.503483,NaN,NaN,NaN,NaN,136440,229083.8,-0.421525539,8.463933245,8.885458784
2020-04-07T08:15:00Z,1166.449236,1168.678025,1163.427989,1168.678025,1157.237967,1164.797118,NaN,NaN,NaN,NaN,196553,233109.6,-0.311033908,8.4966664,8.807700307
2020-04-07T08:20:00Z,1168.479911,1168.87614,1164.170918,1165.260549,1157.967293,1164.912976,NaN,NaN,NaN,NaN,166215,237155.45,-0.565685601,8.100593306,8.666278907
2020-04-07T08:25:00Z,1165.21102,1168.777083,1165.21102,1167.390281,1158.823928,1165.532302,NaN,NaN,NaN,NaN,127040,238359.3,-0.619285983,7.892171428,8.511457411
2020-04-07T08:30:00Z,1167.78651,1168.87614,1164.913848,1167.588395,1159.620698,1166.046325,NaN,NaN,NaN,NaN,185460,239304.85,-0.687356483,7.652261808,8.339618291
2020-04-07T08:35:00Z,1167.093109,1167.241695,1163.229874,1163.923275,1160.011841,1165.515563,NaN,NaN,NaN,NaN,226234,245243.4,-1.045045817,7.03331102,8.078356837
2020-04-07T08:40:00Z,1163.923275,1168.87614,1162.536473,1167.142637,1160.660095,1165.922331,NaN,NaN,NaN,NaN,234894,237119.9,-1.049098563,6.766983632,7.816082196
2020-04-07T08:45:00Z,1167.093109,1173.829005,1164.963377,1173.432776,1161.821248,1167.799942,NaN,NaN,NaN,NaN,404333,249506,-0.60457669,7.060361333,7.664938023
2020-04-07T08:50:00Z,1173.680419,1173.977591,1168.87614,1173.977591,1162.92637,1169.344355,NaN,NaN,NaN,NaN,481677,269670.05,-0.331939292,7.250013908,7.5819532
2020-04-07T08:55:00Z,1173.977591,1173.977591,1170.411528,1173.086075,1163.84998,1170.279785,NaN,NaN,NaN,NaN,246479,266765.75,-0.286125218,7.224296677,7.510421896
2020-04-07T09:00:00Z,1173.432776,1189.083829,1173.432776,1178.286584,1165.162398,1172.281484,NaN,NaN,NaN,NaN,393453,277945.5,0.069096746,7.596792829,7.527696082
2020-04-07T09:05:00Z,1178.78187,1180.713487,1174.968164,1178.534227,1166.378019,1173.84467,NaN,NaN,NaN,NaN,384457,282053.2,0.228527185,7.813355063,7.584827878
2020-04-07T09:10:00Z,1178.336112,1195.522554,1178.03894,1192.649892,1168.766371,1178.545976,NaN,NaN,NaN,NaN,601460,300917.55,1.284938034,9.191000421,7.906062387
2020-04-07T09:15:00Z,1192.105077,1196.612184,1188.6876,1194.234809,1171.081684,1182.468184,NaN,NaN,NaN,NaN,589080,313878.55,1.904974728,10.2872808,8.382306069
2020-04-07T09:20:00Z,1194.18528,1194.878681,1188.6876,1188.984772,1172.709237,1184.097331,NaN,NaN,NaN,NaN,403047,310743.35,1.710201668,10.52005815,8.809856486
2020-04-07T09:25:00Z,1189.43053,1192.649892,1188.6876,1192.600363,1174.517521,1186.223089,NaN,NaN,NaN,NaN,417040,316318.6,1.675770841,10.90457004,9.228799196
2020-04-07T09:30:00Z,1192.402249,1202.555622,1192.402249,1199.583903,1176.796283,1189.563292,NaN,NaN,NaN,NaN,667376,329191.55,1.987569464,11.71326103,9.725691562
2020-04-07T09:35:00Z,1199.930604,1201.218348,1189.826759,1193.640465,1178.327572,1190.582586,NaN,NaN,NaN,NaN,605819,339506.05,1.533306344,11.64232449,10.10901815
2020-04-07T09:40:00Z,1193.392822,1197.553228,1189.727702,1193.392822,1179.697141,1191.285145,NaN,NaN,NaN,NaN,646778,363909.2,1.049527225,11.42092718,10.37139995
2020-04-07T09:45:00Z,1193.09565,1193.640465,1188.6876,1189.43053,1180.581994,1190.821491,NaN,NaN,NaN,NaN,612989,386341.2,0.296654381,10.74221793,10.44556355
2020-04-07T09:50:00Z,1188.737129,1199.980132,1188.6876,1198.989559,1182.255409,1192.863508,NaN,NaN,NaN,NaN,769908,418014.6,0.420347455,10.97099787,10.55065041
2020-04-07T09:55:00Z,1198.692387,1200.029661,1198.59333,1198.59333,1183.740675,1194.295963,NaN,NaN,NaN,NaN,392907,427832.3,0.339794301,10.97539329,10.63559899
2020-04-08T03:45:00Z,1170.213414,1185.715881,1149.06468,1163.923275,1181.939093,1186.702791,NaN,NaN,NaN,NaN,1170990,478071.05,-2.402002504,7.633095859,10.03509836
2020-04-08T03:50:00Z,1163.923275,1167.093109,1159.515225,1163.081288,1180.224747,1180.797416,NaN,NaN,NaN,NaN,396815,491559.8,-4.122506578,4.881965141,9.004471718
2020-04-08T03:55:00Z,1163.576574,1172.838432,1162.734587,1171.005872,1179.386667,1178.34953,NaN,NaN,NaN,NaN,452287,504901.15,-4.457444818,3.432665696,7.890110514
2020-04-08T04:00:00Z,1171.748802,1175.760622,1161.942129,1162.536473,1177.854832,1174.396265,NaN,NaN,NaN,NaN,574587,522318.8,-5.121850912,1.487796874,6.609647786
2020-04-08T04:05:00Z,1162.734587,1162.734587,1155.206233,1161.496371,1176.367699,1171.171292,NaN,NaN,NaN,NaN,543441,537746.15,-5.389755897,-0.127547085,5.262208812
2020-04-08T04:10:00Z,1162.140244,1186.706454,1161.199199,1184.675779,1177.122979,1174.547414,NaN,NaN,NaN,NaN,593527,547205.85,-3.590677694,0.773861695,4.364539388
2020-04-08T04:15:00Z,1184.527193,1206.517914,1184.527193,1202.109864,1179.394514,1181.438026,NaN,NaN,NaN,NaN,900941,568169.05,-1.032346372,3.074106424,4.106452795
2020-04-08T04:20:00Z,1202.109864,1214.442498,1200.970705,1212.411823,1182.396087,1189.181476,NaN,NaN,NaN,NaN,597045,585697.35,1.3267736,5.764919796,4.438146196
2020-04-08T04:25:00Z,1212.758524,1213.352868,1201.416463,1203.991953,1184.359348,1192.884095,NaN,NaN,NaN,NaN,368186,584434,2.041783198,6.990375193,4.948591995
2020-04-08T04:30:00Z,1204.388182,1207.904716,1194.581509,1202.654679,1186.02256,1195.326741,NaN,NaN,NaN,NaN,358906,583156.45,2.221782465,7.725820077,5.504037611
2020-04-08T04:35:00Z,1202.25845,1203.991953,1196.265483,1198.741916,1187.178865,1196.180535,NaN,NaN,NaN,NaN,201718,563169.35,1.865265577,7.835619583,5.970354006
2020-04-08T04:40:00Z,1198.890502,1203.298552,1197.008413,1203.249023,1188.639788,1197.947657,NaN,NaN,NaN,NaN,142284,540829.55,1.816460888,8.240930116,6.424469228
2020-04-08T04:45:00Z,1203.249023,1210.480206,1200.029661,1209.390576,1190.526224,1200.808387,NaN,NaN,NaN,NaN,290426,535198.5,2.076898317,9.020592124,6.943693807
2020-04-08T04:50:00Z,1208.49906,1217.364688,1205.329226,1213.154753,1192.583363,1203.894978,NaN,NaN,NaN,NaN,385199,533606.45,2.332527186,9.85935279,7.526825604
2020-04-08T04:55:00Z,1213.055696,1217.414217,1206.517914,1209.786805,1194.147312,1205.367935,NaN,NaN,NaN,NaN,315628,516019.05,2.036921278,10.0729772,8.036055923
